rdt_id,start_hour,day_of_week,month,is_weekend,number_of_affected_stations,number_of_affected_lines,primary_line,cause_group,statistical_cause_nl,long_disruption
59349,21,Monday,4,0,7,2.0,Brussel-Zuid/Midi - Rotterdam Centraal (HSL),staff,acties in het buitenland,1
59350,6,Tuesday,4,0,5,2.0,Amersfoort - Amsterdam Centraal,rolling stock,defecte trein,0
59352,8,Tuesday,4,0,2,1.0,Roermond - Venlo,rolling stock,defecte trein,0
59353,10,Tuesday,4,0,4,1.0,Den Haag Centraal - Utrecht Centraal,rolling stock,defecte trein,0
59354,11,Tuesday,4,0,5,1.0,Eindhoven - Roermond,rolling stock,defecte trein,0
59355,11,Tuesday,4,0,2,1.0,Leiden Centraal - Schiphol Airport,rolling stock,defecte trein,0
59357,11,Tuesday,4,0,4,2.0,'s-Hertogenbosch - Eindhoven,rolling stock,defecte trein,0
59358,12,Tuesday,4,0,5,1.0,Breda - Tilburg,rolling stock,defecte trein,0
59360,14,Tuesday,4,0,4,1.0,Groningen - Zwolle,rolling stock,defecte trein,0
59361,14,Tuesday,4,0,3,1.0,Arnhem Centraal - Zutphen,rolling stock,defecte trein,0
59362,18,Tuesday,4,0,8,2.0,Amsterdam Centraal - Utrecht Centraal,external,inzet van hulpdiensten,0
59364,5,Wednesday,4,0,2,1.0,Lelystad Centrum - Zwolle,infrastructure,seinstoring,1
59366,6,Wednesday,4,0,7,1.0,Heerlen - Sittard,infrastructure,wisselstoring,1
59367,6,Wednesday,4,0,3,3.0,Almere Oostvaarders - Utrecht Centraal,accidents,aanrijding,0
59368,7,Wednesday,4,0,6,1.0,'s-Hertogenbosch - Nijmegen,rolling stock,defecte trein,0
59371,8,Wednesday,4,0,3,3.0,Berlin Ostbahnhof - Hengelo,rolling stock,defecte trein,0
59372,8,Wednesday,4,0,6,1.0,Harlingen Haven - Leeuwarden,accidents,aanrijding,1
59373,8,Wednesday,4,0,5,1.0,Harlingen Haven - Leeuwarden,accidents,aanrijding,0
59374,9,Wednesday,4,0,5,1.0,Eindhoven - Roermond,infrastructure,wisselstoring,1
59375,9,Wednesday,4,0,5,1.0,Amersfoort - Ede-Wageningen,infrastructure,seinstoring,1
59376,10,Wednesday,4,0,6,1.0,Dordrecht - Roosendaal,external,inzet van hulpdiensten,1
59377,10,Wednesday,4,0,8,1.0,Dordrecht - Rotterdam Centraal,external,inzet van hulpdiensten,1
59378,10,Wednesday,4,0,2,1.0,Amersfoort - Apeldoorn,infrastructure,seinstoring,1
59379,11,Wednesday,4,0,5,1.0,Breda - Tilburg,rolling stock,defecte trein,0
59380,11,Wednesday,4,0,6,1.0,Arnhem Centraal - Zutphen,rolling stock,defecte trein,0
59381,12,Wednesday,4,0,4,2.0,'s-Hertogenbosch - Eindhoven,infrastructure,defecte bovenleiding,1
59382,12,Wednesday,4,0,9,1.0,'s-Hertogenbosch - Utrecht Centraal,infrastructure,defecte bovenleiding,1
59383,16,Wednesday,4,0,5,1.0,Almelo - Mariënberg,rolling stock,defecte trein,1
59384,18,Wednesday,4,0,8,1.0,Dordrecht - Rotterdam Centraal,external,inzet van hulpdiensten,0
59385,21,Wednesday,4,0,2,1.0,Emmen - Zwolle,rolling stock,defecte trein,1
59386,22,Wednesday,4,0,3,1.0,'s-Hertogenbosch - Nijmegen,external,rommel op het spoor,1
59388,23,Wednesday,4,0,5,1.0,Amsterdam Centraal - Haarlem,accidents,aanrijding,0
59389,23,Wednesday,4,0,3,8.0,Alkmaar - Amsterdam Centraal,infrastructure,stroomstoring,1
59390,23,Wednesday,4,0,11,1.0,Roosendaal - Vlissingen,logistical,problemen op het spoor in het buitenland,1
59391,6,Thursday,4,0,6,1.0,Almelo - Mariënberg,rolling stock,beperkingen in de materieelinzet,1
59392,9,Thursday,4,0,3,2.0,Antwerpen-Centraal - Breda (HSL),rolling stock,gestrande trein,0
59393,10,Thursday,4,0,6,1.0,Arnhem Centraal - Winterswijk,rolling stock,defecte trein,0
59394,11,Thursday,4,0,2,1.0,Alkmaar - Den Helder,rolling stock,defecte trein,0
59395,11,Thursday,4,0,4,1.0,'s-Hertogenbosch - Nijmegen,rolling stock,defecte trein,0
59396,13,Thursday,4,0,2,1.0,Arnhem Centraal - Utrecht Centraal,rolling stock,defecte trein,0
59397,14,Thursday,4,0,3,1.0,Breda - Tilburg,accidents,aanrijding,1
59398,15,Thursday,4,0,3,1.0,Aachen Hbf - Heerlen,logistical,problemen op het spoor in het buitenland,1
59399,16,Thursday,4,0,7,2.0,'s-Hertogenbosch - Utrecht Centraal,infrastructure,defect spoor,1
59400,17,Thursday,4,0,5,2.0,Amersfoort - Amsterdam Centraal,infrastructure,overwegstoring,0
59401,17,Thursday,4,0,8,1.0,Almere Oostvaarders - Utrecht Centraal,infrastructure,overwegstoring,0
59402,17,Thursday,4,0,7,2.0,'s-Hertogenbosch - Utrecht Centraal,infrastructure,defect spoor,0
59403,17,Thursday,4,0,4,1.0,Arnhem Centraal - Utrecht Centraal,rolling stock,defecte trein,1
59404,19,Thursday,4,0,5,2.0,Amsterdam Centraal - Utrecht Centraal,rolling stock,defecte trein,0
59405,21,Thursday,4,0,3,1.0,Breda - Roosendaal,rolling stock,defecte trein,0
59407,21,Thursday,4,0,2,2.0,Amersfoort - Amsterdam Centraal,rolling stock,defecte trein,0
59408,0,Friday,4,0,2,1.0,'s-Hertogenbosch - Tilburg,external,rommel op het spoor,0
59409,8,Friday,4,0,11,1.0,Roosendaal - Vlissingen,rolling stock,defecte trein,1
59410,8,Friday,4,0,2,1.0,Breda - Rotterdam Centraal (HSL),engineering work,uitloop van werkzaamheden,1
59411,9,Friday,4,0,2,2.0,Groningen - Bad Nieuweschans,infrastructure,seinstoring,1
59412,12,Friday,4,0,2,1.0,Breda - Rotterdam Centraal (HSL),infrastructure,seinstoring,0
59413,14,Friday,4,0,2,1.0,Breda - Rotterdam Centraal (HSL),infrastructure,seinstoring,1
59416,16,Friday,4,0,3,1.0,Leiden Centraal - Utrecht Centraal,logistical,eerdere verstoring,0
59417,19,Friday,4,0,3,1.0,Arnhem Centraal - Nijmegen,rolling stock,defecte trein,1
59418,21,Friday,4,0,8,1.0,Eindhoven - Venlo,external,rommel op het spoor,0
59419,13,Saturday,4,1,3,1.0,Dordrecht - Geldermalsen,accidents,aanrijding,1
59420,14,Saturday,4,1,2,1.0,Alkmaar - Den Helder,rolling stock,defecte trein,0
59421,14,Saturday,4,1,9,1.0,Leeuwarden - Stavoren,infrastructure,seinstoring,1
59422,16,Saturday,4,1,2,1.0,Amersfoort - Zwolle,rolling stock,defecte trein,0
59423,16,Saturday,4,1,2,1.0,Dordrecht - Geldermalsen,external,persoon op het spoor,0
59424,18,Saturday,4,1,5,1.0,Almelo - Deventer,accidents,aanrijding,1
59425,20,Saturday,4,1,9,1.0,Delfzijl - Groningen,external,inzet van de politie,0
59426,13,Sunday,4,1,6,1.0,Haarlem - Uitgeest,rolling stock,defecte trein,0
59427,14,Sunday,4,1,3,1.0,Enschede - Hengelo,rolling stock,defecte trein,0
59428,16,Sunday,4,1,8,1.0,Alkmaar - Amsterdam Centraal,rolling stock,defecte trein,0
59429,16,Sunday,4,1,2,2.0,Amersfoort - Amsterdam Centraal,rolling stock,gestrande trein,0
59430,17,Sunday,4,1,2,1.0,Dordrecht - Rotterdam Centraal,infrastructure,defecte spoorbrug,0
59431,18,Sunday,4,1,4,1.0,Groningen - Zwolle,external,inzet van de politie,0
59432,19,Sunday,4,1,3,1.0,Leeuwarden - Zwolle,rolling stock,defecte trein,0
59433,7,Monday,4,0,4,3.0,Amersfoort - Amsterdam Centraal,rolling stock,defecte trein,0
59434,9,Monday,4,0,4,1.0,Leeuwarden - Stavoren,external,persoon op het spoor,0
59435,10,Monday,4,0,3,1.0,Dordrecht - Geldermalsen,infrastructure,defecte spoorbrug,1
59436,11,Monday,4,0,2,1.0,Leiden Centraal - Utrecht Centraal,external,persoon op het spoor,0
59437,12,Monday,4,0,2,1.0,Deventer - Zutphen,rolling stock,defecte trein,1
59438,15,Monday,4,0,2,1.0,Amersfoort - Zwolle,rolling stock,defecte trein,0
59439,21,Monday,4,0,3,1.0,Nijmegen - Venlo,accidents,aanrijding,1
59440,22,Monday,4,0,2,2.0,Amsterdam Centraal - Utrecht Centraal,external,inzet van hulpdiensten,1
59441,23,Monday,4,0,4,2.0,Arnhem Centraal - Utrecht Centraal,external,inzet van hulpdiensten,0
59442,6,Tuesday,4,0,2,1.0,Breda - Rotterdam Centraal (HSL),infrastructure,wisselstoring,1
59443,6,Tuesday,4,0,15,3.0,Den Haag Centraal - Den Haag HS,infrastructure,wisselstoring,0
59444,6,Tuesday,4,0,4,3.0,Almere Oostvaarders - Utrecht Centraal,external,koperdiefstal,1
59445,6,Tuesday,4,0,18,8.0,Amersfoort - Schiphol Airport,rolling stock,defecte trein,0
59446,6,Tuesday,4,0,15,3.0,Den Haag Centraal - Den Haag HS,rolling stock,defecte trein,0
59447,6,Tuesday,4,0,2,1.0,Breda - Rotterdam Centraal (HSL),rolling stock,defecte trein,0
59448,7,Tuesday,4,0,8,1.0,Dordrecht - Rotterdam Centraal,infrastructure,wisselstoring,1
59449,7,Tuesday,4,0,7,1.0,Hamm (Westf.) - Venlo,rolling stock,defecte trein,0
59450,7,Tuesday,4,0,2,1.0,Rotterdam Centraal - Schiphol Airport (HSL),rolling stock,defecte trein,0
59451,8,Tuesday,4,0,8,1.0,Dordrecht - Geldermalsen,rolling stock,defecte trein,0
59454,9,Tuesday,4,0,2,1.0,Rotterdam Centraal - Schiphol Airport (HSL),rolling stock,defecte trein,1
59456,9,Tuesday,4,0,3,1.0,Tiel - Utrecht Centraal,rolling stock,defecte trein,0
59457,9,Tuesday,4,0,3,1.0,Eindhoven - Venlo,rolling stock,defecte trein,0
59458,10,Tuesday,4,0,8,1.0,Dordrecht - Rotterdam Centraal,rolling stock,gestrande trein,1
59459,10,Tuesday,4,0,2,1.0,Roermond - Venlo,rolling stock,defecte trein,0
59460,11,Tuesday,4,0,3,1.0,Eindhoven - Tilburg,accidents,aanrijding,1
59461,12,Tuesday,4,0,2,1.0,Roermond - Sittard,accidents,aanrijding,1
59462,12,Tuesday,4,0,3,1.0,Arnhem Centraal - Zutphen,infrastructure,defecte spoorbrug,1
59463,12,Tuesday,4,0,5,1.0,Apeldoorn - Zutphen,infrastructure,defecte spoorbrug,1
59464,13,Tuesday,4,0,6,1.0,Eindhoven - Venlo,external,inzet van de politie,0
59465,14,Tuesday,4,0,3,1.0,Leeuwarden - Zwolle,infrastructure,defecte spoorbrug,1
59466,16,Tuesday,4,0,3,2.0,Den Haag Centraal - Utrecht Centraal,rolling stock,defecte trein,0
59467,17,Tuesday,4,0,3,1.0,Leeuwarden - Zwolle,rolling stock,defecte trein,0
59469,20,Tuesday,4,0,5,3.0,Groningen - Bad Nieuweschans,infrastructure,wisselstoring,0
59470,22,Tuesday,4,0,1,5.0,Apeldoorn - Zutphen,external,persoon op het spoor,0
59471,5,Wednesday,4,0,7,1.0,Heerlen - Sittard,staff,problemen met de personeelsinzet,1
59472,7,Wednesday,4,0,6,1.0,Aachen Hbf - Heerlen,staff,problemen met de personeelsinzet,1
59473,7,Wednesday,4,0,3,2.0,Den Haag Centraal - Utrecht Centraal,rolling stock,gestrande trein,0
59474,8,Wednesday,4,0,5,2.0,Amsterdam Centraal - Schiphol Airport,rolling stock,defecte trein,0
59475,15,Wednesday,4,0,3,1.0,Leiden Centraal - Utrecht Centraal,infrastructure,defecte spoorbrug,0
59476,15,Wednesday,4,0,3,1.0,Roosendaal - Vlissingen,external,inzet van de politie,0
59477,15,Wednesday,4,0,3,1.0,Leiden Centraal - Utrecht Centraal,rolling stock,defecte trein,1
59478,15,Wednesday,4,0,6,1.0,Winterswijk - Zutphen,rolling stock,defecte trein,0
59479,15,Wednesday,4,0,2,3.0,Almere Oostvaarders - Utrecht Centraal,rolling stock,defecte trein,0
59480,16,Wednesday,4,0,2,1.0,Amersfoort - Zwolle,rolling stock,defecte trein,0
59481,21,Wednesday,4,0,18,8.0,Amersfoort - Schiphol Airport,rolling stock,defecte trein,0
59482,7,Thursday,4,0,2,1.0,Arnhem Centraal - Utrecht Centraal,external,hinder op het spoor,1
59483,9,Thursday,4,0,3,1.0,'s-Hertogenbosch - Utrecht Centraal,rolling stock,defecte trein,0
59484,10,Thursday,4,0,8,2.0,Amsterdam Centraal - Utrecht Centraal,unknown,technisch onderzoek,1
59485,10,Thursday,4,0,3,1.0,Den Haag Centraal - Utrecht Centraal,infrastructure,wisselstoring,1
59486,10,Thursday,4,0,2,1.0,Breda - Rotterdam Centraal (HSL),rolling stock,rook in een trein,0
59487,11,Thursday,4,0,6,4.0,Amersfoort - Schiphol Airport,infrastructure,seinstoring,1
59488,11,Thursday,4,0,2,1.0,Breda - Rotterdam Centraal (HSL),rolling stock,defecte trein,1
59489,11,Thursday,4,0,8,1.0,Dordrecht - Rotterdam Centraal,rolling stock,defecte trein,1
59490,11,Thursday,4,0,8,2.0,Den Haag Centraal - Den Haag HS,rolling stock,defecte trein,1
59492,11,Thursday,4,0,2,1.0,Rotterdam Centraal - Schiphol Airport (HSL),rolling stock,defecte trein,1
59493,11,Thursday,4,0,9,1.0,Lelystad Centrum - Schiphol Airport,rolling stock,defecte trein,1
59494,11,Thursday,4,0,3,2.0,Breda - Dordrecht,rolling stock,defecte trein,1
59495,12,Thursday,4,0,2,7.0,Amersfoort - Schiphol Airport,external,persoon langs het spoor,0
59496,12,Thursday,4,0,5,1.0,Leiden Centraal - Schiphol Airport,infrastructure,defecte spoorbrug,0
59497,16,Thursday,4,0,5,3.0,Almere Oostvaarders - Utrecht Centraal,rolling stock,defecte trein,1
59499,21,Thursday,4,0,2,1.0,Rotterdam Centraal - Schiphol Airport (HSL),rolling stock,gestrande trein,0
59500,5,Friday,4,0,5,1.0,Maastricht - Sittard,infrastructure,defecte bovenleiding,1
59501,6,Friday,4,0,4,2.0,Amersfoort - Schiphol Airport,rolling stock,defecte trein,0
59503,10,Friday,4,0,5,3.0,Almere Oostvaarders - Utrecht Centraal,infrastructure,seinstoring,0
59505,12,Friday,4,0,7,1.0,Groningen - Eemshaven,infrastructure,seinstoring,1
59507,15,Friday,4,0,2,2.0,Almelo - Deventer,infrastructure,wisselstoring,0
